orange-model_Clarity_of_Steps,orange-model_Ease_of_Following,orange-model_Confidence,blue-model_Clarity_of_Steps,blue-model_Ease_of_Following,blue-model_Confidence,green-model_Clarity_of_Steps,green-model_Ease_of_Following,green-model_Confidence,purple-model_Clarity_of_Steps,purple-model_Ease_of_Following,purple-model_Confidence
2 | 2 | 2 | 2 | 2,2 | 2 | 1 | 2 | 1,2 | 2 | 2 | 1 | 2,4 | 4 | 4 | 4 | 4,4 | 4 | 4 | 2 | 4,4 | 4 | 4 | 4 | 4,5 | 5 | 5 | 5 | 5,5 | 5 | 5 | 5 | 5,5 | 5 | 5 | 5 | 5,4 | 4 | 4 | 3 | 3,4 | 4 | 4 | 2 | 3,4 | 3 | 4 | 2 | 3
2 | 1 | 1 | 2 | 1,2 | 1 | 1 | 4 | 1,2 | 1 | 1 | 3 | 1,5 | 3 | 4 | 4 | 3,4 | 2 | 4 | 4 | 4,5 | 3 | 4 | 4 | 4,4 | 4 | 3 | 5 | 4,4 | 4 | 4 | 5 | 4,5 | 4 | 4 | 5 | 4,4 | 4 | 3 | 4 | 3,3 | 2 | 2 | 2 | 2,4 | 4 | 2 | 4 | 2
2 | 3 | 2 | 2 | 3,2 | 2 | 2 | 2 | 3,2 | 2 | 3 | 2 | 3,3 | 4 | 3 | 2 | 2,4 | 4 | 3 | 3 | 2,4 | 4 | 4 | 3 | 2,5 | 4 | 5 | 4 | 4,4 | 4 | 5 | 4 | 4,4 | 4 | 4 | 4 | 4,4 | 3 | 4 | 4 | 4,4 | 3 | 4 | 4 | 4,4 | 4 | 4 | 4 | 4
2 | 3 | 2 | 1 | 3,2 | 3 | 3 | 1 | 4,2 | 4 | 4 | 1 | 5,4 | 5 | 4 | 2 | 4,4 | 5 | 4 | 2 | 4,4 | 5 | 4 | 2 | 4,3 | 5 | 5 | 2 | 2,3 | 5 | 5 | 2 | 2,3 | 5 | 5 | 2 | 2,1 | 1 | 1 | 1 | 2,1 | 1 | 1 | 1 | 2,1 | 1 | 1 | 1 | 2
4 | 5 | 5 | 5 | 5,4 | 5 | 5 | 5 | 4,5 | 5 | 5 | 5 | 4,5 | 5 | 5 | 5 | 5,5 | 5 | 5 | 5 | 4,5 | 5 | 5 | 5 | 4,4 | 5 | 5 | 5 | 4,5 | 4 | 4 | 4 | 3,5 | 5 | 5 | 5 | 4,4 | 5 | 5 | 4 | 4,4 | 5 | 5 | 3 | 4,5 | 5 | 5 | 5 | 4
3 | 3 | 3 | 4 | 3,3 | 3 | 3 | 3 | 3,4 | 3 | 3 | 4 | 3,5 | 5 | 4 | 5 | 4,5 | 5 | 4 | 5 | 4,5 | 5 | 5 | 5 | 5,5 | 5 | 5 | 5 | 5,5 | 5 | 5 | 5 | 5,5 | 5 | 5 | 5 | 5,5 | 4 | 4 | 3 | 4,5 | 4 | 3 | 2 | 4,5 | 3 | 4 | 3 | 4
4 | 5 | 4 | 4 | 3,4 | 5 | 3 | 3 | 5,4 | 5 | 3 | 4 | 4,3 | 4 | 4 | 3 | 2,4 | 4 | 4 | 3 | 2,3 | 4 | 4 | 4 | 2,4 | 5 | 4 | 5 | 4,5 | 5 | 5 | 4 | 5,4 | 5 | 4 | 5 | 4,5 | 5 | 5 | 5 | 4,5 | 4 | 4 | 4 | 5,5 | 5 | 5 | 5 | 4
2 | 3 | 3 | 2 | 2,3 | 3 | 4 | 3 | 3,3 | 3 | 4 | 3 | 2,5 | 4 | 5 | 5 | 3,5 | 4 | 5 | 5 | 2,5 | 4 | 5 | 4 | 3,5 | 5 | 5 | 5 | 4,5 | 5 | 5 | 4 | 3,5 | 5 | 5 | 4 | 3,2 | 2 | 4 | 2 | 1,3 | 3 | 4 | 3 | 1,2 | 2 | 4 | 3 | 1
3 | 2 | 3 | 4 | 4,4 | 3 | 4 | 4 | 4,3 | 3 | 4 | 3 | 3,4 | 4 | 4 | 4 | 2,4 | 3 | 3 | 3 | 2,3 | 3 | 4 | 3 | 3,4 | 4 | 5 | 4 | 4,4 | 4 | 4 | 4 | 3,4 | 4 | 4 | 4 | 4,4 | 4 | 4 | 4 | 4,4 | 4 | 4 | 4 | 4,4 | 3 | 4 | 4 | 4
5 | 1 | 2 | 4 | 2,4 | 1 | 1 | 3 | 2,5 | 1 | 1 | 4 | 2,5 | 5 | 5 | 4 | 5,5 | 5 | 5 | 4 | 4,5 | 5 | 5 | 5 | 3,5 | 5 | 4 | 5 | 4,5 | 5 | 4 | 5 | 3,5 | 5 | 4 | 5 | 3,3 | 3 | 2 | 2 | 1,3 | 4 | 1 | 3 | 1,2 | 4 | 1 | 2 | 1
