original_row,original_col,group,model,criterion,value
0,"orange-model-79 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
0,"orange-model-87 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
0,"orange-model-89 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
0,"orange-model-366 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
0,"orange-model-371 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
1,"orange-model-71 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
1,"orange-model-668 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0
1,"orange-model-694 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0
1,"orange-model-89 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
1,"orange-model-371 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0
2,"orange-model-185 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
2,"orange-model-71 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0
2,"orange-model-79 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
2,"orange-model-89 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
2,"orange-model-366 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0
3,"orange-model-185 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
3,"orange-model-71 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0
3,"orange-model-79 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
3,"orange-model-694 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0
3,"orange-model-89 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0
4,"orange-model-185 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0
4,"orange-model-79 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0
4,"orange-model-87 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0
4,"orange-model-89 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0
4,"orange-model-371 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0
5,"orange-model-71 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0
5,"orange-model-614 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0
5,"orange-model-668 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0
5,"orange-model-694 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0
5,"orange-model-366 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0
6,"orange-model-185 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0
6,"orange-model-79 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0
6,"orange-model-694 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0
6,"orange-model-89 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0
6,"orange-model-366 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0
7,"orange-model-614 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
7,"orange-model-668 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0
7,"orange-model-87 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0
7,"orange-model-694 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
7,"orange-model-371 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
8,"orange-model-71 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0
8,"orange-model-614 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
8,"orange-model-79 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0
8,"orange-model-694 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0
8,"orange-model-366 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0
9,"orange-model-185 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0
9,"orange-model-71 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0
9,"orange-model-614 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
9,"orange-model-79 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0
9,"orange-model-371 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
10,"orange-model-668 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0
10,"orange-model-87 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0
10,"orange-model-694 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0
10,"orange-model-89 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0
10,"orange-model-366 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0
