subset_settings,BytedTsinghua-SIA/DAPO-Qwen-32B,Qwen/QwQ-32B,open-thoughts/OpenThinker-7B,openai/gpt-oss-20b-high,openai/gpt-oss-20b-low,openai/gpt-oss-20b-medium
"('Empty Thought', 'Empty Thought')",0.0,0.4000000000000001,0.25,0.0,0.45,0.44
"('Empty Thought', 'Empty Thought', 'Empty Thought')",0.0,0.4000000000000001,0.25,0.0,0.45,0.44
"('Empty Thought', 'Empty Thought', 'Empty Thought', 'Empty Thought')",0.0,0.4,0.25,0.0,0.45,0.44
"('Empty Thought', 'Empty Thought', 'Empty Thought', 'Ensembled Thought V1')",0.0,0.4,0.25,0.0,0.45,0.43
"('Empty Thought', 'Empty Thought', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.0,0.45,0.22
"('Empty Thought', 'Empty Thought', 'Empty Thought', 'original')",0.0,0.4,0.25,0.0,0.45,0.48
"('Empty Thought', 'Empty Thought', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.0,0.45,0.35
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1')",0.0,0.4,0.25,0.41,0.4466666666666667,0.43
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Empty Thought')",0.0,0.4000000000000001,0.25,0.41,0.445,0.44
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'Empty Thought')",0.0,0.4,0.25,0.41,0.45,0.44
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'Ensembled Thought V1')",0.0,0.4,0.25,0.41,0.45,0.43
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.41,0.45,0.22
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'original')",0.0,0.4,0.25,0.41,0.45,0.48
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.41,0.45,0.35
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.0,0.4000000000000001,0.25,0.41,0.44,0.43
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought')",0.0,0.4,0.25,0.41,0.44,0.44
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.0,0.4,0.25,0.41,0.44,0.43
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.41,0.44,0.22
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original')",0.0,0.4,0.25,0.41,0.44,0.48
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.41,0.44,0.35
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2')",0.0,0.4,0.25,0.41,0.4,0.0
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Empty Thought')",0.0,0.4,0.25,0.41,0.4,0.44
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.0,0.4,0.25,0.41,0.4,0.43
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.41,0.4,0.22
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'original')",0.0,0.4,0.25,0.41,0.4,0.48
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.41,0.4,0.35
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1')",0.0,0.4,0.25,0.41,0.41,0.0
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.0,0.4,0.25,0.41,0.41,0.44
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.0,0.4,0.25,0.41,0.41,0.43
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.41,0.41,0.22
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'original')",0.0,0.4,0.25,0.41,0.41,0.48
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.41,0.41,0.35
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2')",0.0,0.4,0.25,0.41,0.38,0.0
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.0,0.4,0.25,0.41,0.38,0.44
