subset_models,subset_settings,files,consistency_rate,accuracy_BytedTsinghua-SIA/DAPO-Qwen-32B,accuracy_Qwen/QwQ-32B,accuracy_open-thoughts/OpenThinker-7B,accuracy_openai/gpt-oss-20b-high,accuracy_openai/gpt-oss-20b-low,accuracy_openai/gpt-oss-20b-medium
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B')","('Ensembled Thought V2', 'Ensembled Thought V2')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_alternate.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_ensembled_thought_merged_outputs_alternate.jsonl')",0.91,0.38,0.41,,,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B')","('Empty Thought', 'Empty Thought')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_empty.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_empty.jsonl')",0.46,0.39,0.4,,,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B')","('Ensembled Thought Without Answer V1', 'Ensembled Thought Without Answer V1')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_without_answer_merged_output.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_ensembled_thought_without_answer_merged_output.jsonl')",0.9,0.42,0.41,,,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B')","('Ensembled Thought V1', 'Ensembled Thought V1')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_merged_output.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_ensembled_thought_merged_output.jsonl')",0.9,0.43,0.42,,,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B')","('open-thoughts_openthinker-7bComplete Thought Transfer', 'open-thoughts_openthinker-7bComplete Thought Transfer')","('outputs/open-thoughts_OpenThinker-7B_thoughts_to_BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot.jsonl', 'outputs/open-thoughts_OpenThinker-7B_thoughts_to_Qwen_QwQ-32B_zero_shot.jsonl')",0.99,0.22,0.22,,,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B')","('qwen_qwq-32bComplete Thought Transfer', 'qwen_qwq-32bComplete Thought Transfer')","('outputs/Qwen_QwQ-32B_thoughts_to_BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot.jsonl', 'outputs/Qwen_QwQ-32B_thoughts_to_Qwen_QwQ-32B_zero_shot.jsonl')",0.96,0.35,0.35,,,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B')","('bytedtsinghua-sia_dapo-qwen-32bComplete Thought Transfer', 'bytedtsinghua-sia_dapo-qwen-32bComplete Thought Transfer')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_thoughts_to_BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot.jsonl', 'outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_thoughts_to_Qwen_QwQ-32B_zero_shot.jsonl')",0.97,0.4,0.41,,,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B')","('openai_gpt-oss-20bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer')","('outputs/openai_gpt-oss-20b_thoughts_to_BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_medium.jsonl', 'outputs/openai_gpt-oss-20b_thoughts_to_Qwen_QwQ-32B_zero_shot_medium.jsonl')",0.98,0.47,0.48,,,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B')","('original', 'original')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_original.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_original.jsonl')",0.42,0.41,0.35,,,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B')","('Ensembled Thought V2', 'Ensembled Thought V2')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_alternate.jsonl', 'outputs/open-thoughts_OpenThinker-7B_zero_shot_ensembled_thought_merged_outputs_alternate.jsonl')",0.35,0.38,,0.38,,,
