subset_settings,Consistency Rate
"('Empty Thought', 'Empty Thought')",0.345
"('Empty Thought', 'Empty Thought', 'Empty Thought')",0.2375
"('Empty Thought', 'Empty Thought', 'Empty Thought', 'Empty Thought')",0.19
"('Empty Thought', 'Empty Thought', 'Empty Thought', 'Ensembled Thought V1')",0.18
"('Empty Thought', 'Empty Thought', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.15
"('Empty Thought', 'Empty Thought', 'Empty Thought', 'original')",0.19
"('Empty Thought', 'Empty Thought', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.16
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1')",0.21800000000000003
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Empty Thought')",0.16666666666666666
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'Empty Thought')",0.16
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'Ensembled Thought V1')",0.17
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.13
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'original')",0.16
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.15
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.17666666666666667
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought')",0.16
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.17
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.13
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original')",0.16
