Row Number,Answers,LLM Names,Most Common Answer,Consistency Score,Ground Truth Answer,Is Correct?
353,"['4', '5', '5']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",5,0.667,5,True
561,"['0.19699999999999998', '-0.04', '-0.04']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",-0.04,0.667,0,False
875,"['2', 'Empty', '2']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",2,0.667,36,False
981,"['75.4', '75.4', '75.4']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",75.4,1.0,75.371,True
32,"['5', '5', '5.1']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",5,0.667,5.366,False
449,"['3', '1', '0']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",3,0.333,1,False
199,"['289', '289', '289']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",289,1.0,288.985,True
425,"['Empty', 'Empty', '26']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",Empty,0.667,13.481,False
108,"['7.84', '7.8', '7.84']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",7.84,0.667,7.84,True
712,"['56.85', '56.9', '56.9']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",56.9,0.667,56.849,True
1021,"['02/19/2024', '02/22/2024', '02/22/2024']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",02/22/2024,0.667,02/22/2024,True
993,"['653', '653', '653']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",653,1.0,793,False
159,"['6', '6', '6.0']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",6,0.667,5.978,True
378,"['138.4', '138', '138.4']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",138.4,0.667,139.6,True
