blue-model_Clarity_of_Steps,blue-model_Confidence,blue-model_Ease_of_Following,green-model_Clarity_of_Steps,green-model_Confidence,green-model_Ease_of_Following,orange-model_Clarity_of_Steps,orange-model_Confidence,orange-model_Ease_of_Following,purple-model_Clarity_of_Steps,purple-model_Confidence,purple-model_Ease_of_Following
4.0,,,,,,,,,,,
,4.0,,,,,,,,,,
,,2.0,,,,,,,,,
4.0,,,,,,,,,,,
,4.0,,,,,,,,,,
,,4.0,,,,,,,,,
4.0,,,,,,,,,,,
,4.0,,,,,,,,,,
,,4.0,,,,,,,,,
4.0,,,,,,,,,,,
,4.0,,,,,,,,,,
,,4.0,,,,,,,,,
4.0,,,,,,,,,,,
,4.0,,,,,,,,,,
,,4.0,,,,,,,,,
,,,5.0,,,,,,,,
,,,,5.0,,,,,,,
,,,,,5.0,,,,,,
,,,5.0,,,,,,,,
,,,,5.0,,,,,,,
,,,,,5.0,,,,,,
,,,5.0,,,,,,,,
,,,,5.0,,,,,,,
,,,,,5.0,,,,,,
,,,5.0,,,,,,,,
,,,,5.0,,,,,,,
,,,,,5.0,,,,,,
,,,5.0,,,,,,,,
,,,,5.0,,,,,,,
,,,,,5.0,,,,,,
,,,,,,2.0,,,,,
,,,,,,,1.0,,,,
,,,,,,,,2.0,,,
,,,,,,2.0,,,,,
,,,,,,,2.0,,,,
,,,,,,,,1.0,,,
,,,,,,2.0,,,,,
,,,,,,,2.0,,,,
,,,,,,,,2.0,,,
,,,,,,2.0,,,,,
,,,,,,,2.0,,,,
,,,,,,,,2.0,,,
,,,,,,2.0,,,,,
,,,,,,,2.0,,,,
,,,,,,,,1.0,,,
,,,,,,,,,3.0,,
,,,,,,,,,,2.0,
,,,,,,,,,,,2.0
,,,,,,,,,3.0,,
,,,,,,,,,,3.0,
,,,,,,,,,,,3.0
,,,,,,,,,4.0,,
,,,,,,,,,,4.0,
,,,,,,,,,,,4.0
,,,,,,,,,4.0,,
,,,,,,,,,,3.0,
,,,,,,,,,,,4.0
,,,,,,,,,4.0,,
,,,,,,,,,,4.0,
,,,,,,,,,,,4.0
3.0,,,,,,,,,,,
,4.0,,,,,,,,,,
,,4.0,,,,,,,,,
3.0,,,,,,,,,,,
,3.0,,,,,,,,,,
,,2.0,,,,,,,,,
4.0,,,,,,,,,,,
,4.0,,,,,,,,,,
,,4.0,,,,,,,,,
5.0,,,,,,,,,,,
,5.0,,,,,,,,,,
,,4.0,,,,,,,,,
4.0,,,,,,,,,,,
,4.0,,,,,,,,,,
,,4.0,,,,,,,,,
,,,4.0,,,,,,,,
,,,,4.0,,,,,,,
,,,,,4.0,,,,,,
,,,4.0,,,,,,,,
,,,,4.0,,,,,,,
,,,,,4.0,,,,,,
,,,3.0,,,,,,,,
,,,,4.0,,,,,,,
,,,,,4.0,,,,,,
,,,4.0,,,,,,,,
,,,,5.0,,,,,,,
,,,,,4.0,,,,,,
,,,5.0,,,,,,,,
,,,,5.0,,,,,,,
,,,,,5.0,,,,,,
,,,,,,1.0,,,,,
,,,,,,,1.0,,,,
,,,,,,,,1.0,,,
,,,,,,1.0,,,,,
,,,,,,,1.0,,,,
,,,,,,,,1.0,,,
,,,,,,1.0,,,,,
,,,,,,,1.0,,,,
,,,,,,,,1.0,,,
,,,,,,2.0,,,,,
,,,,,,,2.0,,,,
,,,,,,,,2.0,,,
,,,,,,2.0,,,,,
,,,,,,,3.0,,,,
,,,,,,,,4.0,,,
,,,,,,,,,3.0,,
,,,,,,,,,,2.0,
,,,,,,,,,,,2.0
,,,,,,,,,4.0,,
,,,,,,,,,,4.0,
,,,,,,,,,,,2.0
,,,,,,,,,3.0,,
,,,,,,,,,,2.0,
,,,,,,,,,,,2.0
,,,,,,,,,4.0,,
,,,,,,,,,,4.0,
,,,,,,,,,,,3.0
,,,,,,,,,4.0,,
,,,,,,,,,,4.0,
,,,,,,,,,,,2.0
3.0,,,,,,,,,,,
,4.0,,,,,,,,,,
,,4.0,,,,,,,,,
2.0,,,,,,,,,,,
,2.0,,,,,,,,,,
,,2.0,,,,,,,,,
4.0,,,,,,,,,,,
,4.0,,,,,,,,,,
,,4.0,,,,,,,,,
3.0,,,,,,,,,,,
,4.0,,,,,,,,,,
,,3.0,,,,,,,,,
2.0,,,,,,,,,,,
,3.0,,,,,,,,,,
,,3.0,,,,,,,,,
,,,5.0,,,,,,,,
,,,,4.0,,,,,,,
,,,,,4.0,,,,,,
,,,4.0,,,,,,,,
,,,,4.0,,,,,,,
,,,,,4.0,,,,,,
,,,4.0,,,,,,,,
,,,,4.0,,,,,,,
,,,,,4.0,,,,,,
,,,5.0,,,,,,,,
,,,,4.0,,,,,,,
,,,,,5.0,,,,,,
,,,4.0,,,,,,,,
,,,,4.0,,,,,,,
,,,,,4.0,,,,,,
,,,,,,2.0,,,,,
,,,,,,,2.0,,,,
,,,,,,,,2.0,,,
,,,,,,3.0,,,,,
,,,,,,,3.0,,,,
,,,,,,,,3.0,,,
,,,,,,3.0,,,,,
,,,,,,,2.0,,,,
,,,,,,,,2.0,,,
,,,,,,2.0,,,,,
,,,,,,,3.0,,,,
,,,,,,,,2.0,,,
,,,,,,2.0,,,,,
,,,,,,,2.0,,,,
,,,,,,,,2.0,,,
,,,,,,,,,4.0,,
,,,,,,,,,,4.0,
,,,,,,,,,,,4.0
,,,,,,,,,4.0,,
,,,,,,,,,,4.0,
,,,,,,,,,,,4.0
,,,,,,,,,3.0,,
,,,,,,,,,,4.0,
,,,,,,,,,,,3.0
,,,,,,,,,4.0,,
,,,,,,,,,,4.0,
,,,,,,,,,,,4.0
,,,,,,,,,4.0,,
,,,,,,,,,,4.0,
,,,,,,,,,,,4.0
4.0,,,,,,,,,,,
,4.0,,,,,,,,,,
,,4.0,,,,,,,,,
2.0,,,,,,,,,,,
,2.0,,,,,,,,,,
,,2.0,,,,,,,,,
5.0,,,,,,,,,,,
,5.0,,,,,,,,,,
,,5.0,,,,,,,,,
4.0,,,,,,,,,,,
,4.0,,,,,,,,,,
,,4.0,,,,,,,,,
4.0,,,,,,,,,,,
,4.0,,,,,,,,,,
,,4.0,,,,,,,,,
,,,3.0,,,,,,,,
,,,,3.0,,,,,,,
,,,,,3.0,,,,,,
,,,2.0,,,,,,,,
,,,,2.0,,,,,,,
,,,,,2.0,,,,,,
,,,5.0,,,,,,,,
,,,,5.0,,,,,,,
,,,,,5.0,,,,,,
,,,5.0,,,,,,,,
,,,,5.0,,,,,,,
,,,,,5.0,,,,,,
,,,2.0,,,,,,,,
,,,,2.0,,,,,,,
,,,,,2.0,,,,,,
,,,,,,2.0,,,,,
,,,,,,,2.0,,,,
,,,,,,,,2.0,,,
,,,,,,1.0,,,,,
,,,,,,,1.0,,,,
,,,,,,,,1.0,,,
,,,,,,3.0,,,,,
,,,,,,,4.0,,,,
,,,,,,,,3.0,,,
,,,,,,2.0,,,,,
,,,,,,,4.0,,,,
,,,,,,,,3.0,,,
,,,,,,3.0,,,,,
,,,,,,,5.0,,,,
,,,,,,,,4.0,,,
,,,,,,,,,1.0,,
,,,,,,,,,,1.0,
,,,,,,,,,,,1.0
,,,,,,,,,1.0,,
,,,,,,,,,,1.0,
,,,,,,,,,,,1.0
,,,,,,,,,1.0,,
,,,,,,,,,,1.0,
,,,,,,,,,,,1.0
,,,,,,,,,1.0,,
,,,,,,,,,,1.0,
,,,,,,,,,,,1.0
,,,,,,,,,2.0,,
,,,,,,,,,,2.0,
,,,,,,,,,,,2.0
5.0,,,,,,,,,,,
,5.0,,,,,,,,,,
,,5.0,,,,,,,,,
5.0,,,,,,,,,,,
,4.0,,,,,,,,,,
,,4.0,,,,,,,,,
5.0,,,,,,,,,,,
,5.0,,,,,,,,,,
,,5.0,,,,,,,,,
5.0,,,,,,,,,,,
,5.0,,,,,,,,,,
,,5.0,,,,,,,,,
5.0,,,,,,,,,,,
,5.0,,,,,,,,,,
,,5.0,,,,,,,,,
,,,4.0,,,,,,,,
,,,,5.0,,,,,,,
,,,,,5.0,,,,,,
,,,4.0,,,,,,,,
,,,,4.0,,,,,,,
,,,,,3.0,,,,,,
,,,5.0,,,,,,,,
,,,,5.0,,,,,,,
,,,,,4.0,,,,,,
,,,5.0,,,,,,,,
,,,,5.0,,,,,,,
,,,,,4.0,,,,,,
,,,5.0,,,,,,,,
,,,,5.0,,,,,,,
,,,,,4.0,,,,,,
,,,,,,4.0,,,,,
,,,,,,,5.0,,,,
,,,,,,,,4.0,,,
,,,,,,5.0,,,,,
,,,,,,,4.0,,,,
,,,,,,,,4.0,,,
,,,,,,5.0,,,,,
,,,,,,,5.0,,,,
,,,,,,,,5.0,,,
,,,,,,5.0,,,,,
,,,,,,,5.0,,,,
,,,,,,,,5.0,,,
,,,,,,5.0,,,,,
,,,,,,,5.0,,,,
,,,,,,,,5.0,,,
,,,,,,,,,4.0,,
,,,,,,,,,,5.0,
,,,,,,,,,,,4.0
,,,,,,,,,4.0,,
,,,,,,,,,,4.0,
,,,,,,,,,,,4.0
,,,,,,,,,5.0,,
,,,,,,,,,,5.0,
,,,,,,,,,,,5.0
,,,,,,,,,5.0,,
,,,,,,,,,,5.0,
,,,,,,,,,,,5.0
,,,,,,,,,4.0,,
,,,,,,,,,,5.0,
,,,,,,,,,,,3.0
4.0,,,,,,,,,,,
,5.0,,,,,,,,,,
,,4.0,,,,,,,,,
5.0,,,,,,,,,,,
,5.0,,,,,,,,,,
,,5.0,,,,,,,,,
4.0,,,,,,,,,,,
,5.0,,,,,,,,,,
,,4.0,,,,,,,,,
5.0,,,,,,,,,,,
,5.0,,,,,,,,,,
,,5.0,,,,,,,,,
5.0,,,,,,,,,,,
,5.0,,,,,,,,,,
,,5.0,,,,,,,,,
,,,5.0,,,,,,,,
,,,,5.0,,,,,,,
,,,,,5.0,,,,,,
,,,5.0,,,,,,,,
,,,,5.0,,,,,,,
,,,,,5.0,,,,,,
,,,5.0,,,,,,,,
,,,,5.0,,,,,,,
,,,,,5.0,,,,,,
,,,5.0,,,,,,,,
,,,,5.0,,,,,,,
,,,,,5.0,,,,,,
,,,5.0,,,,,,,,
,,,,5.0,,,,,,,
,,,,,5.0,,,,,,
,,,,,,3.0,,,,,
,,,,,,,3.0,,,,
,,,,,,,,3.0,,,
,,,,,,3.0,,,,,
,,,,,,,3.0,,,,
,,,,,,,,3.0,,,
,,,,,,3.0,,,,,
,,,,,,,3.0,,,,
,,,,,,,,3.0,,,
,,,,,,4.0,,,,,
,,,,,,,4.0,,,,
,,,,,,,,3.0,,,
,,,,,,3.0,,,,,
,,,,,,,4.0,,,,
,,,,,,,,3.0,,,
,,,,,,,,,4.0,,
,,,,,,,,,,4.0,
,,,,,,,,,,,4.0
,,,,,,,,,4.0,,
,,,,,,,,,,3.0,
,,,,,,,,,,,4.0
,,,,,,,,,4.0,,
,,,,,,,,,,4.0,
,,,,,,,,,,,3.0
,,,,,,,,,3.0,,
,,,,,,,,,,3.0,
,,,,,,,,,,,2.0
,,,,,,,,,5.0,,
,,,,,,,,,,5.0,
,,,,,,,,,,,5.0
3.0,,,,,,,,,,,
,3.0,,,,,,,,,,
,,4.0,,,,,,,,,
